id,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species
1,5.1,3.5,1.4,0.2,setosa
2,4.9,3,1.4,0.2,setosa
3,4.7,3.2,1.3,0.2,setosa
4,4.6,3.1,1.5,0.2,setosa
5,5,3.6,1.4,0.2,setosa
6,5.4,3.9,1.7,0.4,setosa
7,4.6,3.4,1.4,0.3,setosa
8,5,3.4,1.5,0.2,setosa
9,4.4,2.9,1.4,0.2,setosa
10,4.9,3.1,1.5,0.1,setosa
11,7,3.2,4.7,1.4,versicolor
12,6.4,3.2,4.5,1.5,versicolor
13,6.9,3.1,4.9,1.5,versicolor
14,5.5,2.3,4,1.3,versicolor
15,6.5,2.8,4.6,1.5,versicolor
16,5.7,2.8,4.5,1.3,versicolor
17,6.3,3.3,4.7,1.6,versicolor
18,4.9,2.4,3.3,1,versicolor
19,6.6,2.9,4.6,1.3,versicolor
20,5.2,2.7,3.9,1.4,versicolor
21,6.3,3.3,6,2.5,virginica
22,5.8,2.7,5.1,1.9,virginica
23,7.1,3,5.9,2.1,virginica
24,6.3,2.9,5.6,1.8,virginica
25,6.5,3,5.8,2.2,virginica
26,7.6,3,6.6,2.1,virginica
27,4.9,2.5,4.5,1.7,virginica
28,7.3,2.9,6.3,1.8,virginica
29,6.7,2.5,5.8,1.8,virginica
30,7.2,3.6,6.1,2.5,virginica
