Country,Total,Female,Male
Australia,83.3,85.4,81.3
Austria,81.3,83.7,78.8
Belgium,81.9,84.3,79.4
Canada,81.6,84.0,79.3
Chile,81.0,83.8,78.3
Colombia,76.8,80.0,73.7
Costa Rica,80.8,83.3,78.2
Czechia,77.2,80.5,74.1
Denmark,81.5,83.3,79.6
Estonia,77.2,81.4,72.7
Finland,81.9,84.6,79.3
France,82.4,85.5,79.3
Germany,80.8,83.3,78.4
Greece,80.2,82.9,77.4
Hungary,74.3,77.8,70.7
Iceland,83.2,84.6,81.8
Ireland,82.4,84.3,80.5
Israel,82.6,84.6,80.5
Italy,82.7,84.9,80.5
Japan,84.5,87.6,81.5
Korea,83.6,86.6,80.6
Latvia,73.1,78.0,68.2
Lithuania,74.2,78.8,69.5
Luxembourg,82.7,84.8,80.5
Mexico,75.4,78.2,72.5
Netherlands,81.4,83.0,79.7
New Zealand,82.3,84.0,80.5
Norway,83.2,84.7,81.7
Poland,75.4,79.5,71.4
Portugal,81.5,84.4,78.5
Slovak Republic,74.6,78.2,71.2
Slovenia,80.7,83.8,77.7
Spain,83.3,86.2,80.4
Sweden,83.1,84.9,81.3
Switzerland,83.9,85.8,81.8
Türkiye,77.5,80.3,74.8
United States,76.4,79.3,73.5
