id,Gender,Age,Income,Credit,Purchase
1,male,20s,LT2000,Fair,Yes
2,female,30s,GE2000,Good,No
3,female,20s,GE2000,Fair,No
4,female,20s,GE2000,Fair,Yes
5,female,20s,LT2000,Bad,No
6,female,30s,GE2000,Fair,No
7,female,30s,GE2000,Good,Yes
8,male,20s,LT2000,Fair,No
9,female,20s,GE2000,Good,No
10,male,30s,GE2000,Fair,Yes
11,female,30s,GE2000,Good,Yes
12,female,20s,LT2000,Fair,No
13,male,30s,GE2000,Fair,No
14,male,30s,LT2000,Fair,Yes
15,female,30s,GE2000,Good,Yes
16,female,30s,GE2000,Fair,No
17,female,20s,GE2000,Bad,No
18,male,20s,GE2000,Bad,No
19,male,30s,GE2000,Good,Yes
20,male,20s,LT2000,Fair,No
,,,,,
